,image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mre,qual_score,mae,score
193,Image_3284,384,24,3,80,92,86,18.34,62,1.15,0.45,0.56,13.0,0.6
194,Image_3283,384,24,3,31,32,32,9.74,8,1.03,0.03,0.45,1.0,0.4
195,Image_3282,384,24,3,57,63,60,10.84,36,1.11,0.28,0.45,12.0,0.3
196,Image_3281,384,24,3,90,57,74,14.73,50,1.58,1.14,0.3,8.0,0.25
197,Image_3279,384,24,3,44,59,52,7.88,28,1.34,0.05,0.38,1.0,0.5
198,Image_3278,384,24,3,55,41,48,4.52,24,1.34,0.44,0.61,24.0,0.7
199,Image_3275,384,24,3,80,72,76,5.56,52,1.11,0.52,0.59,13.0,0.3
200,Image_3271,384,24,3,96,102,99,12.29,75,1.06,0.62,0.69,35.0,0.5
201,Image_3270,384,24,3,68,80,74,7.03,50,1.18,0.21,0.43,5.0,0.3
202,Image_3268,384,24,3,68,77,72,11.06,48,1.13,0.27,0.55,7.0,0.6
203,Image_3160,384,24,3,89,93,91,7.13,67,1.04,0.0,0.59,0.0,0.5
204,Image_2956,384,24,3,81,46,64,12.53,40,1.76,0.0,0.51,0.0,0.5
205,Image_2955,384,24,3,39,31,35,3.12,11,1.26,0.3,0.46,24.0,0.6
206,Image_2954,384,24,3,47,78,62,0.88,38,1.66,0.34,0.58,20.0,0.5
207,Image_2952,384,24,3,28,59,44,3.1,20,2.11,0.03,0.43,2.0,0.4
208,Image_2951,384,24,3,39,68,54,1.05,30,1.74,0.07,0.46,1.0,0.3
209,Image_2949,384,24,3,87,37,62,2.86,38,2.35,0.17,0.51,5.0,0.4
210,Image_2948,384,24,3,80,78,79,3.24,55,1.03,1.75,0.44,7.0,0.5
211,Image_2947,384,24,3,51,60,56,1.97,32,1.18,0.03,0.39,1.0,0.5
212,Image_2946,384,24,3,72,63,68,12.06,44,1.14,0.5,0.42,4.0,0.6
213,Image_2945,384,24,3,75,52,64,1.33,40,1.44,0.07,0.52,1.0,0.2
214,Image_2944,384,24,3,37,59,48,7.86,24,1.59,0.03,0.41,2.0,0.3
215,Image_2943,384,24,3,58,60,59,1.65,35,1.03,0.06,0.46,2.0,0.2
216,Image_2942,384,24,3,48,48,48,1.03,24,1.0,0.32,0.32,6.0,0.25
217,Image_2941,384,24,3,86,82,84,10.9,60,1.05,0.15,0.69,3.0,0.7
