image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mae,mre,qual_score
Image_4941,384,48,3,31,42,36,3.71,12,1.35,5,0.03,0.32
Image_4940,384,48,3,53,98,76,5.22,28,1.85,2,0.07,0.38
Image_4939,384,48,3,70,95,82,16.33,34,1.36,2,0.11,0.48
Image_4938,384,48,3,26,51,38,9.32,10,1.96,11,0.16,0.52
Image_4933,384,48,3,77,59,68,8.67,20,1.31,1,0.02,0.43
Image_4924,384,48,3,36,59,48,4.56,0,1.64,2,0.03,0.47
Image_4923,384,48,3,39,59,49,4.47,1,1.51,1,0.03,0.46
Image_4908,384,48,3,42,74,58,7.45,10,1.76,10,0.69,0.34
Image_4904,384,48,3,60,86,73,9.72,25,1.43,4,0.53,0.3
Image_4903,384,48,3,56,73,64,3.09,16,1.3,8,0.3,0.48
Image_4885,384,48,3,51,41,46,6.71,2,1.24,2,0.15,0.75
Image_4875,384,48,3,57,74,66,4.85,18,1.3,15,0.27,0.56
Image_4874,384,48,3,43,66,54,5.17,6,1.53,15,0.18,0.45
Image_4502,384,48,3,23,312,168,3.28,120,13.57,17,0.44,0.67
Image_4501,384,48,3,20,321,170,5.21,122,16.05,8,0.3,0.74
Image_4500,384,48,3,44,351,198,8.12,150,7.98,2,0.19,0.71
Image_4497,384,48,3,24,301,162,11.72,114,12.54,15,0.51,0.82
Image_4496,384,48,3,27,337,182,10.04,134,12.48,144,0.91,0.93
Image_4494,384,48,3,14,285,150,11.98,102,20.36,28,0.51,0.69
Image_4493,384,48,3,19,308,164,2.21,116,16.21,2,0.12,0.76
Image_4409,384,48,3,48,80,64,13.0,16,1.67,9,0.49,0.79
Image_4407,384,48,3,20,39,30,18.12,18,1.95,14,0.25,0.36
Image_4406,384,48,3,13,27,20,11.5,28,2.08,1,0.09,0.47
Image_4296,384,48,3,59,67,63,3.89,15,1.14,1,0.03,0.37
Image_4286,384,48,3,17,27,22,4.13,26,1.59,60,0.15,0.49
Image_4175,384,48,3,78,126,102,4.58,54,1.62,8,0.59,0.7
Image_4170,384,48,3,29,119,74,5.58,26,4.1,16,0.32,0.6
Image_4123,384,48,3,69,61,65,10.97,17,1.13,3,0.29,0.41
Image_4122,384,48,3,68,111,90,16.9,42,1.63,4,0.24,0.57
Image_4121,384,48,3,69,108,88,7.0,40,1.57,2,0.16,0.65
Image_4120,384,48,3,43,56,50,3.53,2,1.3,2,0.04,0.44
Image_4119,384,48,3,78,112,95,2.49,47,1.44,5,0.67,0.43
Image_4116,384,48,3,59,80,70,4.25,22,1.36,3,0.16,0.49
Image_4115,384,48,3,39,72,56,4.39,8,1.85,4,0.89,0.64
Image_4113,384,48,3,40,57,48,4.57,0,1.43,18,0.32,0.64
Image_4111,384,48,3,35,42,38,2.94,10,1.2,5,0.17,0.56
Image_4110,384,48,3,132,52,92,17.65,44,2.54,0,0.0,0.49
Image_4089,384,48,3,31,60,46,1.33,2,1.94,13,0.18,0.43
Image_4088,384,48,3,46,59,52,4.74,4,1.28,6,0.17,0.47
Image_4087,384,48,3,40,31,36,0.71,12,1.29,1,0.01,0.42
Image_4086,384,48,3,53,75,64,2.4,16,1.42,2,0.14,0.42
Image_4085,384,48,3,26,36,31,1.44,17,1.38,6,0.06,0.44
Image_4084,384,48,3,44,57,50,6.06,2,1.3,6,0.32,0.57
Image_4083,384,48,3,54,54,54,1.32,6,1.0,36,0.62,0.29
Image_4082,384,48,3,28,22,25,1.78,23,1.27,8,0.08,0.43
Image_4079,384,48,3,44,61,52,3.18,4,1.39,3,0.11,0.35
Image_4078,384,48,3,32,52,42,3.92,6,1.62,9,0.18,0.38
Image_4077,384,48,3,17,34,26,4.73,22,2.0,16,0.08,0.36
Image_4074,384,48,3,48,62,55,2.63,7,1.29,13,0.36,0.56
Image_4073,384,48,3,65,60,62,5.03,14,1.08,8,0.24,0.39
Image_4072,384,48,3,65,86,76,4.11,28,1.32,1,0.08,0.44
Image_4069,384,48,3,35,26,30,2.89,18,1.35,0,0.0,0.39
Image_4068,384,48,3,71,99,85,4.99,37,1.39,2,0.16,0.54
Image_4067,384,48,3,38,52,45,2.07,3,1.37,0,0.0,0.42
Image_4066,384,48,3,72,98,85,4.13,37,1.36,1,0.12,0.45
Image_4065,384,48,3,51,40,46,4.7,2,1.27,7,0.16,0.49
Image_4063,384,48,3,57,57,57,3.93,9,1.0,2,0.15,0.44
Image_4062,384,48,3,15,25,20,4.78,28,1.67,81,0.23,0.53
Image_3697,384,48,3,149,108,128,8.06,80,1.38,6,0.34,0.75
Image_3696,384,48,3,146,126,136,6.6,88,1.16,7,0.45,0.82
Image_3694,384,48,3,57,86,72,4.52,24,1.51,1,0.03,0.48
Image_3693,384,48,3,44,54,49,2.17,1,1.23,5,0.16,0.27
Image_3651,384,48,3,89,114,102,8.77,54,1.28,1,0.1,0.67
Image_3650,384,48,3,47,81,64,9.85,16,1.72,3,0.26,0.61
Image_3645,384,48,3,45,49,47,8.12,1,1.09,12,0.25,0.47
Image_3644,384,48,3,63,61,62,17.41,14,1.03,1,0.08,0.53
Image_3501,384,48,3,30,41,36,6.66,12,1.37,3,0.05,0.37
Image_3500,384,48,3,51,70,60,4.19,12,1.37,3,0.16,0.44
Image_3494,384,48,3,85,53,69,4.23,21,1.6,6,0.14,0.53
Image_3342,384,48,3,72,112,92,3.12,44,1.56,3,0.32,0.4
Image_3341,384,48,3,52,57,54,2.28,6,1.1,10,0.38,0.18
Image_3339,384,48,3,67,94,80,5.02,32,1.4,14,1.22,0.22
Image_3329,384,48,3,15,10,12,2.06,36,1.5,61,0.25,0.71
Image_3310,384,48,3,40,50,45,1.94,3,1.25,6,0.24,0.21
Image_3309,384,48,3,49,80,64,4.99,16,1.63,3,0.22,0.3
Image_3284,384,48,3,80,92,86,18.34,38,1.15,1,0.06,0.36
Image_3283,384,48,3,31,32,32,9.74,16,1.03,0,0.0,0.37
Image_3282,384,48,3,57,63,60,10.84,12,1.11,1,0.03,0.35
Image_3281,384,48,3,90,57,74,14.73,26,1.58,4,0.35,0.38
Image_3279,384,48,3,44,59,52,7.88,4,1.34,3,0.15,0.34
Image_3278,384,48,3,55,41,48,4.52,0,1.34,7,0.19,0.49
Image_3275,384,48,3,80,72,76,5.56,28,1.11,6,0.32,0.48
Image_3271,384,48,3,96,102,99,12.29,51,1.06,15,0.41,0.59
Image_3270,384,48,3,68,80,74,7.03,26,1.18,1,0.05,0.33
Image_3268,384,48,3,68,77,72,11.06,24,1.13,1,0.05,0.48
Image_3160,384,48,3,89,93,91,7.13,43,1.04,2,0.13,0.55
Image_2956,384,48,3,81,46,64,12.53,16,1.76,5,0.16,0.57
Image_2955,384,48,3,39,31,35,3.12,13,1.26,5,0.05,0.43
Image_2954,384,48,3,47,78,62,0.88,14,1.66,3,0.08,0.43
Image_2952,384,48,3,28,59,44,3.1,4,2.11,5,0.07,0.43
Image_2951,384,48,3,39,68,54,1.05,6,1.74,3,0.17,0.43
Image_2949,384,48,3,87,37,62,2.86,14,2.35,23,0.48,0.6
Image_2948,384,48,3,80,78,79,3.24,31,1.03,0,0.0,0.49
Image_2947,384,48,3,51,60,56,1.97,8,1.18,1,0.03,0.33
Image_2946,384,48,3,72,63,68,12.06,20,1.14,1,0.07,0.51
Image_2945,384,48,3,75,52,64,1.33,16,1.44,5,0.26,0.53
Image_2944,384,48,3,37,59,48,7.86,0,1.59,3,0.05,0.39
Image_2943,384,48,3,58,60,59,1.65,11,1.03,4,0.12,0.45
Image_2942,384,48,3,48,48,48,1.03,0,1.0,5,0.24,0.3
Image_2941,384,48,3,86,82,84,10.9,36,1.05,3,0.15,0.62
Image_2939,384,48,3,24,32,28,4.29,20,1.33,14,0.36,0.39
Image_2938,384,48,3,79,68,74,15.61,26,1.16,1,0.1,0.65
Image_2937,384,48,3,44,44,44,12.12,4,1.0,33,0.73,0.31
Image_2936,384,48,3,84,54,69,12.91,21,1.56,8,0.25,0.53
Image_2935,384,48,3,83,41,62,2.41,14,2.02,0,0.0,0.47
Image_2933,384,48,3,53,36,44,10.11,4,1.47,7,0.13,0.47
Image_2932,384,48,3,94,54,74,11.58,26,1.74,7,0.22,0.51
Image_2931,384,48,3,59,49,54,26.1,6,1.2,5,0.1,0.45
Image_2930,384,48,3,35,46,40,4.48,8,1.31,9,0.13,0.51
Image_2929,384,48,3,37,35,36,2.45,12,1.06,7,0.1,0.49
Image_2927,384,48,3,30,46,38,4.29,10,1.53,0,0.0,0.41
Image_2926,384,48,3,94,53,74,6.51,26,1.77,10,0.29,0.52
Image_2924,384,48,3,47,45,46,2.54,2,1.04,3,0.06,0.32
Image_2923,384,48,3,53,34,44,8.82,4,1.56,29,0.5,0.38
Image_2922,384,48,3,75,66,70,14.52,22,1.14,0,0.0,0.38
Image_2921,384,48,3,67,55,61,12.4,13,1.22,1,0.04,0.38
Image_2920,384,48,3,40,79,60,10.44,12,1.98,10,0.43,0.68
Image_2918,384,48,3,47,49,48,1.7,0,1.04,12,0.32,0.52
Image_2916,384,48,3,17,18,18,2.78,30,1.06,51,0.34,0.52
Image_2915,384,48,3,45,48,46,3.97,2,1.07,3,0.05,0.44
Image_2914,384,48,3,33,76,54,3.09,6,2.3,2,0.07,0.38
Image_2913,384,48,3,69,72,70,7.9,22,1.04,7,0.82,0.54
Image_2912,384,48,3,34,36,35,1.03,13,1.06,1,0.01,0.42
