image_name,resized_size,patch_size,Avg_ref_h,Avg_ref_z,mean_box_size,diff_patch_mbs,mae, score
Image_4086,384,32,53,75,64,32,1,0.8
Image_4085,384,32,26,36,31,1,6,0.85
Image_4084,384,32,44,57,50,18,1,0.8
Image_4083,384,32,54,54,54,22,39,0.6
Image_4082,384,32,28,22,25,7,16,0.75
Image_4079,384,32,44,61,52,20,3,0.8
Image_4078,384,32,32,52,42,10,4,0.6
Image_4077,384,32,17,34,26,6,16,0.85
Image_4074,384,32,48,62,55,23,3,0.8
Image_4073,384,32,65,60,62,30,2,0.8
Image_4072,384,32,65,86,76,44,3,0.6
Image_4069,384,32,35,26,30,2,3,0.9
Image_4068,384,32,71,99,85,53,6,0.4
Image_4067,384,32,38,52,45,13,6,0.75
Image_4066,384,32,72,98,85,53,0,0.6
Image_4065,384,32,51,40,46,14,1,0.8
Image_4063,384,32,57,57,57,25,4,0.8
Image_4062,384,32,15,25,20,12,74,0.8
Image_3697,384,32,149,108,128,96,1,0.7
Image_3696,384,32,146,126,136,104,3,0.65
Image_3694,384,32,57,86,72,40,10,0.7
Image_3693,384,32,44,54,49,17,0,0.9
Image_3651,384,32,89,114,102,70,7,0.7
Image_3650,384,32,47,81,64,32,5,0.85
Image_3645,384,32,45,49,47,15,3,0.85
Image_3644,384,32,63,61,62,30,2,0.8
Image_3501,384,32,30,41,36,4,3,0.9
Image_3500,384,32,51,70,60,28,0,0.95
Image_3494,384,32,85,53,69,37,16,0.7
Image_3342,384,32,72,112,92,60,0,0.9
Image_3341,384,32,52,57,54,22,4,0.95
Image_3339,384,32,67,94,80,48,17,0.6
Image_3329,384,32,15,10,12,20,123,0.3
Image_3310,384,32,40,50,45,13,3,0.9
Image_3309,384,32,49,80,64,32,7,0.5
Image_3284,384,32,80,92,86,54,2,0.6
Image_3283,384,32,31,32,32,0,4,0.75
Image_3282,384,32,57,63,60,28,4,0.7
Image_3281,384,32,90,57,74,42,10,0.65
Image_3279,384,32,44,59,52,20,1,0.6
Image_3278,384,32,55,41,48,16,33,0.6
Image_3275,384,32,80,72,76,44,7,0.6
Image_3271,384,32,96,102,99,67,23,0.5
Image_3270,384,32,68,80,74,42,4,0.6
Image_3268,384,32,68,77,72,40,5,0.6
Image_3160,384,32,89,93,91,59,8,0.4
Image_2956,384,32,81,46,64,32,6,0.4
Image_2955,384,32,39,31,35,3,24,0.7
Image_2954,384,32,47,78,62,30,7,0.7
Image_2952,384,32,28,59,44,12,22,0.7
Image_2951,384,32,39,68,54,22,7,0.75
Image_2949,384,32,87,37,62,30,1,0.8
Image_2948,384,32,80,78,79,47,7,0.3
Image_2947,384,32,51,60,56,24,9,0.8
Image_2946,384,32,72,63,68,36,4,0.7
Image_2945,384,32,75,52,64,32,0,0.9
Image_2944,384,32,37,59,48,16,25,0.7
Image_2943,384,32,58,60,59,27,10,0.7
Image_2942,384,32,48,48,48,16,11,0.75
Image_2941,384,32,86,82,84,52,8,0.5
Image_2939,384,32,24,32,28,4,17,0.55
Image_2938,384,32,79,68,74,42,1,0.2
Image_2937,384,32,44,44,44,12,13,0.6
Image_2936,384,32,84,54,69,37,12,0.3
Image_2935,384,32,83,41,62,30,6,0.7
Image_2933,384,32,53,36,44,12,38,0.4
Image_2932,384,32,94,54,74,42,12,0.6
Image_2931,384,32,59,49,54,22,20,0.85
Image_2930,384,32,35,46,40,8,5,0.8
Image_2929,384,32,37,35,36,4,26,0.65
Image_2927,384,32,30,46,38,6,1,0.7
Image_2926,384,32,94,53,74,42,8,0.6
Image_2924,384,32,47,45,46,14,15,0.7
Image_2923,384,32,53,34,44,12,49,0.3
Image_2922,384,32,75,66,70,38,3,0.7
Image_2921,384,32,67,55,61,29,9,0.5
Image_2920,384,32,40,79,60,28,2,0.7
Image_2918,384,32,47,49,48,16,19,0.6
Image_2916,384,32,17,18,18,14,55,0.8
Image_2915,384,32,45,48,46,14,20,0.65
Image_2914,384,32,33,76,54,22,12,0.75
Image_2913,384,32,69,72,70,38,12,0.3
Image_2912,384,32,34,36,35,3,10,0.8
Image_2910,384,32,49,177,113,81,5,0.5
Image_2908,384,32,44,53,48,16,1,0.6
Image_2248,384,32,38,56,47,15,8,0.8
Image_2225,384,32,94,109,102,70,5,0.5
Image_2209,384,32,100,148,124,92,4,0.4
Image_2203,384,32,64,100,82,50,11,0.3
Image_2195,384,32,122,115,118,86,2,0.7
Image_2177,384,32,79,128,104,72,6,0.8
Image_2165,384,32,81,104,92,60,5,0.8
Image_2155,384,32,101,95,98,66,0,0.7
Image_2152,384,32,72,127,100,68,8,0.5
Image_2142,384,32,76,87,82,50,3,0.75
Image_2141,384,32,83,109,96,64,6,0.6
Image_2138,384,32,53,83,68,36,13,0.85
Image_2140,384,32,77,73,75,43,0,0.6
Image_2051,384,32,102,56,79,47,1,0.6
Image_2036,384,32,76,51,64,32,1,0.7
Image_2035,384,32,108,40,74,42,3,0.7
Image_2026,384,32,83,58,70,38,4,0.7
Image_2019,384,32,119,81,100,68,9,0.5
Image_2018,384,32,34,73,54,22,19,0.2
Image_2011,384,32,55,35,45,13,43,0.5
Image_2009,384,32,29,22,26,6,271,0.65
Image_2008,384,32,51,46,48,16,39,0.6
Image_2007,384,32,41,36,38,6,2,0.7
Image_2005,384,32,31,24,28,4,179,0.6
Image_2004,384,32,35,22,28,4,259,0.6
Image_1493,384,32,17,28,22,10,41,0.5
Image_1463,384,32,31,37,34,2,9,0.7
Image_1461,384,32,15,23,19,13,51,0.7
Image_1456,384,32,15,21,18,14,16,0.8
Image_1130,384,32,15,10,12,20,22,0.2
Image_1106,384,32,31,28,30,2,11,0.6
Image_998,384,32,34,42,38,6,9,0.4
Image_996,384,32,59,78,68,36,7,0.7
