object,size,image_name,method,precision,recall,f1_score,computation_time
Nuts,384,Image_2,hdbscan,1.0,0.625,0.769,17.016
Nuts,384,Image_3,otm,1.0,0.867,0.929,5.449
Nuts,384,Image_3,gmms,1.0,0.867,0.929,10.339
Nuts,384,Image_3,hdbscan,1.0,0.6,0.75,21.448
Nuts,384,Image_4,otm,1.0,0.818,0.9,3.938
Nuts,384,Image_4,gmms,1.0,0.818,0.9,10.335
Nuts,384,Image_4,hdbscan,1.0,0.727,0.842,28.385
Nuts,384,Image_5,otm,1.0,0.846,0.917,3.25
Nuts,384,Image_5,gmms,1.0,0.846,0.917,12.142
Nuts,384,Image_5,hdbscan,1.0,0.538,0.7,32.881
Nuts,384,Image_6,otm,1.0,0.75,0.857,3.081
Nuts,384,Image_6,gmms,1.0,0.75,0.857,7.541
Nuts,384,Image_6,hdbscan,1.0,0.5,0.667,16.437
Nuts,384,Image_7,otm,1.0,0.571,0.727,2.858
Nuts,384,Image_7,gmms,1.0,0.571,0.727,4.332
Nuts,384,Image_7,hdbscan,1.0,0.714,0.833,7.39
Nuts,384,Image_8,otm,1.0,0.75,0.857,4.317
Nuts,384,Image_8,gmms,1.0,0.75,0.857,10.018
Nuts,384,Image_8,hdbscan,1.0,0.75,0.857,21.79
Nuts,384,Image_9,otm,1.0,0.429,0.6,2.85
Nuts,384,Image_9,gmms,1.0,0.429,0.6,3.914
Nuts,384,Image_9,hdbscan,1.0,0.286,0.444,7.161
Nuts,45,Image_0_50,otm,0.976,0.891,0.932,11.818
Nuts,45,Image_0_50,gmms,1.0,0.913,0.955,18.136
Nuts,45,Image_0_50,hdbscan,1.0,0.587,0.74,25.375
Nuts,45,Image_1,otm,1.0,0.927,0.962,9.745
Nuts,45,Image_1,gmms,1.0,0.927,0.962,16.612
Nuts,45,Image_1,hdbscan,1.0,0.195,0.327,20.879
Nuts,45,Image_10,otm,1.0,0.921,0.959,7.792
Nuts,45,Image_10,gmms,1.0,0.921,0.959,13.819
Nuts,45,Image_10,hdbscan,1.0,0.289,0.449,18.828
Nuts,45,Image_2,otm,1.0,0.927,0.962,6.271
Nuts,45,Image_2,gmms,1.0,0.927,0.962,13.283
Nuts,45,Image_2,hdbscan,1.0,0.39,0.561,16.848
Nuts,45,Image_3,otm,1.0,0.889,0.941,5.194
Nuts,45,Image_3,gmms,1.0,0.889,0.941,12.037
Nuts,45,Image_3,hdbscan,1.0,0.528,0.691,16.193
Nuts,45,Image_4,otm,0.938,0.909,0.923,4.822
Nuts,45,Image_4,gmms,1.0,0.97,0.985,11.395
Nuts,45,Image_4,hdbscan,1.0,0.636,0.778,15.728
Nuts,45,Image_5,otm,1.0,0.941,0.97,5.978
Nuts,45,Image_5,gmms,1.0,0.941,0.97,11.187
Nuts,45,Image_5,hdbscan,1.0,0.647,0.786,15.33
Nuts,45,Image_6,otm,1.0,0.944,0.971,4.418
Nuts,45,Image_6,gmms,1.0,0.944,0.971,12.557
Nuts,45,Image_6,hdbscan,1.0,0.611,0.759,17.019
Nuts,45,Image_7,otm,1.0,0.821,0.902,4.81
Nuts,45,Image_7,gmms,1.0,0.821,0.902,7.384
Nuts,45,Image_7,hdbscan,1.0,0.357,0.526,9.554
Nuts,45,Image_8,otm,1.0,0.967,0.983,9.514
Nuts,45,Image_8,gmms,1.0,0.967,0.983,10.579
Nuts,45,Image_8,hdbscan,1.0,0.5,0.667,14.373
Nuts,45,Image_9,otm,1.0,0.842,0.914,6.756
Nuts,45,Image_9,gmms,1.0,0.842,0.914,12.297
Nuts,45,Image_9,hdbscan,1.0,0.184,0.311,17.448
Nuts,68,Image_0_50,otm,1.0,0.842,0.914,6.061
Nuts,68,Image_0_50,gmms,1.0,0.842,0.914,17.578
Nuts,68,Image_0_50,hdbscan,1.0,0.711,0.831,28.225
Nuts,68,Image_1,otm,1.0,0.897,0.945,5.374
Nuts,68,Image_1,gmms,1.0,0.897,0.945,13.239
Nuts,68,Image_1,hdbscan,1.0,0.207,0.343,20.486
Nuts,68,Image_10,otm,1.0,0.867,0.929,6.313
Nuts,68,Image_10,gmms,1.0,0.867,0.929,12.776
Nuts,68,Image_10,hdbscan,1.0,0.533,0.696,19.347
Nuts,68,Image_2,otm,1.0,0.867,0.929,6.204
Nuts,68,Image_2,gmms,1.0,0.867,0.929,13.42
Nuts,68,Image_2,hdbscan,1.0,0.367,0.537,21.169
Nuts,68,Image_3,otm,1.0,0.885,0.939,5.559
Nuts,68,Image_3,gmms,1.0,0.885,0.939,11.908
Nuts,68,Image_3,hdbscan,1.0,0.5,0.667,19.1
Nuts,68,Image_4,otm,1.0,0.885,0.939,5.2
Nuts,68,Image_4,gmms,1.0,0.885,0.939,11.656
Nuts,68,Image_4,hdbscan,1.0,0.654,0.791,19.26
